project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type,capacity_mw,region_short,cap_bkt,key,v7_project_id,sp_record_id,match_quality,Record ID,Project name,Primary end use sector,Primary end use sector detail,Secondary use sector,Output product,Will export,Export destination geography,project_status,Project status major,cbam_endex,sponsor_proxy_cbam
358,0,1.0986122886681098,Asia,Other,Daye Municipal Government,PEM,2024.0,2,0,0,2.0000000000000004,UNK,M,2024_UNK_0_M,358,,no_match,,,,,,,,,,,0,0
358,0,1.0986122886681098,Asia,Other,Daye Municipal Government,PEM,2024.0,2,0,0,2.0000000000000004,UNK,M,2024_UNK_0_M,358,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
359,0,2.744060638625243,Asia,Other,PetroChina Company Limited,PEM,2023.0,3,0,0,14.549999999999999,UNK,L,2023_UNK_0_L,359,,no_match,,,,,,,,,,,0,0
359,0,2.744060638625243,Asia,Other,PetroChina Company Limited,PEM,2023.0,3,0,0,14.549999999999999,UNK,L,2023_UNK_0_L,359,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
360,0,0.0,Asia,Other,"Seraphim Energy Group Co., Ltd.",PEM,2022.0,4,0,0,0.0,UNK,XS,2022_UNK_0_XS,360,,no_match,,,,,,,,,,,0,0
360,0,0.0,Asia,Other,"Seraphim Energy Group Co., Ltd.",PEM,2022.0,4,0,0,0.0,UNK,XS,2022_UNK_0_XS,360,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
361,0,0.0,Asia,Other,Envision Group,PEM,2022.0,4,0,0,0.0,UNK,XS,2022_UNK_0_XS,361,,no_match,,,,,,,,,,,0,0
361,0,0.0,Asia,Other,Envision Group,PEM,2022.0,4,0,0,0.0,UNK,XS,2022_UNK_0_XS,361,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
362,0,1.3862943611198906,Asia,Unknown,Unknown,PEM,2022.0,4,0,0,3.0,UNK,M,2022_UNK_0_M,362,,no_match,,,,,,,,,,,0,0
362,0,1.3862943611198906,Asia,Unknown,Unknown,PEM,2022.0,4,0,0,3.0,UNK,M,2022_UNK_0_M,362,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
363,1,0.0,Asia,Other,Korea Gas Technology Corporation,Blue_CCS,2025.0,1,0,0,0.0,UNK,XS,2025_UNK_1_XS,363,,no_match,,,,,,,,,,,0,0
363,1,0.0,Asia,Other,Korea Gas Technology Corporation,Blue_CCS,2025.0,1,0,0,0.0,UNK,XS,2025_UNK_1_XS,363,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
364,1,0.0,Asia,Other,Korea Gas Technology Corporation,Blue_CCS,2025.0,1,0,0,0.0,UNK,XS,2025_UNK_1_XS,364,,no_match,,,,,,,,,,,0,0
364,1,0.0,Asia,Other,Korea Gas Technology Corporation,Blue_CCS,2025.0,1,0,0,0.0,UNK,XS,2025_UNK_1_XS,364,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
365,0,1.791759469228055,EU,Unknown,Unknown,PEM,2025.0,1,0,0,5.0,EU,M,2025_EU_0_M,365,,exact_exhausted,,,,,,,,,,,0,0
365,0,1.791759469228055,EU,Unknown,Unknown,PEM,2025.0,1,0,0,5.0,EU,M,2025_EU_0_M,365,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
366,0,4.948759890378168,EU,Other,OMV Aktiengesellschaft,PEM,2025.0,1,0,0,140.00000000000003,EU,XL,2025_EU_0_XL,366,CETPROJH22926,exact,CETPROJH22926,GreenHydroChem24,Industry (other),Other Industrial Process,Unknown,Hydrogen,Unknown,,Permitted,Planning - advanced,0,0
367,0,1.0986122886681098,Other,Unknown,Unknown,PEM,2025.0,1,0,0,2.0000000000000004,OT,M,2025_OT_0_M,367,CETPROJH22880,relaxed,CETPROJH22880,Yemen Green H2,Unknown,Unknown,Unknown,Hydrogen,Unknown,,Feasibility,Planning - early,0,0
368,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2025.0,1,0,0,2.0000000000000004,EU,M,2025_EU_0_M,368,,exact_exhausted,,,,,,,,,,,0,0
368,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2025.0,1,0,0,2.0000000000000004,EU,M,2025_EU_0_M,368,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
369,0,7.313886831633462,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0,1499.9999999999998,UNK,XXL,2019_UNK_0_XXL,369,,no_match,,,,,,,,,,,0,0
369,0,7.313886831633462,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0,1499.9999999999998,UNK,XXL,2019_UNK_0_XXL,369,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
370,0,1.717395053939193,EU,Unknown,Unknown,PEM,2025.0,1,0,0,4.570000000000001,EU,M,2025_EU_0_M,370,,exact_exhausted,,,,,,,,,,,0,0
370,0,1.717395053939193,EU,Unknown,Unknown,PEM,2025.0,1,0,0,4.570000000000001,EU,M,2025_EU_0_M,370,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
